"Item Name","Stamp/Batch","Op. Pc","Op.Tags","Op. Gr.Wt.","Op. Dia.Wt.","Rc. Pc","Rec.Tags","Rc. Gr.Wt.","Rc. Dia.Wt.","Is. Pc","Iss.Tags","Is. Gr.Wt.","Is. Dia.Wt.","Cl. Pc","Cl.Tags","Cl. Gr.Wt.","Cl. Dia.Wt."
"ALLOYE FOR GOLD","","","","3145.072","","","","","","","","20.580","","","","3124.492",""
"1","1","0","0","3145.072","0.000","0","0","0.000","0.000","0","0","20.580","0.000","0","0","3124.492","0.000"
"","","","","","","","","","","","","","","","","",""
"BAALI GOLD","NA","16","","8.350","","","","","","16","","8.350","","","","",""
"BAALI GOLD","18K","","","","","1","","2.190","","1","","2.190","","","","",""
"2","2","16","0","8.350","0.000","1","0","2.190","0.000","17","0","10.540","0.000","0","0","0.000","0.000"
"","","","","","","","","","","","","","","","","",""
"BANGLE GOLD","NA","4","","11.590","","","","","","4","","11.590","","","","",""
"BANGLE GOLD","18K","78","","532.540","","12","","84.740","","18","","94.640","","72","","522.640",""
"2","2","82","0","544.130","0.000","12","0","84.740","0.000","22","0","106.230","0.000","72","0","522.640","0.000"
"","","","","","","","","","","","","","","","","",""
"BATTA GOLD","","","","","","","","0.034","","","","","","","","0.034",""
"1","1","0","0","0.000","0.000","0","0","0.034","0.000","0","0","0.000","0.000","0","0","0.034","0.000"
"","","","","","","","","","","","","","","","","",""
"BICHIYA M","","","","","","8","","13.600","","422","","1209.000","","-414","","-1195.400",""
"1","1","0","0","0.000","0.000","8","0","13.600","0.000","422","0","1209.000","0.000","-414","0","-1195.400","0.000"
"","","","","","","","","","","","","","","","","",""
"BICHIYA SILVER","","","","","","","","","","30","","58.500","","-30","","-58.500",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","30","0","58.500","0.000","-30","0","-58.500","0.000"
"","","","","","","","","","","","","","","","","",""
"BOWL SILVER","","","","","","","","","","2","","60.900","","-2","","-60.900",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","2","0","60.900","0.000","-2","0","-60.900","0.000"
"","","","","","","","","","","","","","","","","",""
"BRACELATE STERLING SLV","","","","","","","","","","1","","5.170","","-1","","-5.170",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","1","0","5.170","0.000","-1","0","-5.170","0.000"
"","","","","","","","","","","","","","","","","",""
"BRACELET GOLD","NA","3","","6.750","","","","","","3","","6.750","","","","",""
"BRACELET GOLD","18K","5","","72.260","","3","","35.580","","","","","","8","","107.840",""
"BRACELET GOLD","22K","4","","27.920","","","","","","","","","","4","","27.920",""
"3","3","12","0","106.930","0.000","3","0","35.580","0.000","3","0","6.750","0.000","12","0","135.760","0.000"
"","","","","","","","","","","","","","","","","",""
"BRACELET SL ""PC""","","","","","","","","","","5","","37.520","","-5","","-37.520",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","5","0","37.520","0.000","-5","0","-37.520","0.000"
"","","","","","","","","","","","","","","","","",""
"BRACELET SLV ""C""","","","","","","","","","","6","","67.970","","-6","","-67.970",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","6","0","67.970","0.000","-6","0","-67.970","0.000"
"","","","","","","","","","","","","","","","","",""
"BRACELET SLV ""M""","","","","","","","","","","9","","106.600","","-9","","-106.600",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","9","0","106.600","0.000","-9","0","-106.600","0.000"
"","","","","","","","","","","","","","","","","",""
"CHAIN GOLD","18K","31","","502.990","","61","","414.170","","23","","185.640","","69","","731.520",""
"CHAIN GOLD","22K","31","","409.630","","4","","37.660","","13","","159.350","","22","","287.940",""
"2","2","62","0","912.620","0.000","65","0","451.830","0.000","36","0","344.990","0.000","91","0","1019.460","0.000"
"","","","","","","","","","","","","","","","","",""
"CHAIN SET GLD","18K","15","","77.710","","","","","","","","","","15","","77.710",""
"CHAIN SET GLD","22K","12","","46.710","","1","","10.730","","10","","46.990","","3","","10.450",""
"2","2","27","0","124.420","0.000","1","0","10.730","0.000","10","0","46.990","0.000","18","0","88.160","0.000"
"","","","","","","","","","","","","","","","","",""
"CHAIN SILVER""M""","","","","","","","","","","3","","73.100","","-3","","-73.100",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","3","0","73.100","0.000","-3","0","-73.100","0.000"
"","","","","","","","","","","","","","","","","",""
"DIA J RING","18K","","","","","","","","","1","","6.250","0.430","-1","","-6.250","-0.430"
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","1","0","6.250","0.430","-1","0","-6.250","-0.430"
"","","","","","","","","","","","","","","","","",""
"DIAMOND JEWELLERY","18K","","","212.130","30.288","","","","","","","","","","","212.130","30.288"
"DIAMOND JEWELLERY","14K","","","4.360","-0.022","","","","","","","","","","","4.360","-0.022"
"2","2","0","0","216.490","30.266","0","0","0.000","0.000","0","0","0.000","0.000","0","0","216.490","30.266"
"","","","","","","","","","","","","","","","","",""
"DIAMOND Studed","","-30","","30.266","30.266","","","","","","","0.430","0.430","-30","","29.836","29.836"
"1","1","-30","0","30.266","30.266","0","0","0.000","0.000","0","0","0.430","0.430","-30","0","29.836","29.836"
"","","","","","","","","","","","","","","","","",""
"E RINGS/BALI,KUNDALGOLD","NA","4","","2.150","","","","","","4","","2.150","","","","",""
"E RINGS/BALI,KUNDALGOLD","18K","74","","112.589","","170","","302.336","","39","","57.238","","205","","357.687",""
"E RINGS/BALI,KUNDALGOLD","22K","28","","53.730","","8","","13.010","","6","","11.310","","30","","55.430",""
"3","3","106","0","168.469","0.000","178","0","315.346","0.000","49","0","70.698","0.000","235","0","413.117","0.000"
"","","","","","","","","","","","","","","","","",""
"F PAYAL M","","","","","","","","","","63","","4986.930","","-63","","-4986.930",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","63","0","4986.930","0.000","-63","0","-4986.930","0.000"
"","","","","","","","","","","","","","","","","",""
"FANCY ITEM SIL..","","","","","","","","","","1","","39.000","","-1","","-39.000",""
"1","1","0","0","0.000","0.000","0","0","0.000","0.000","1","0","39.000","0.000","-1","0","-39.000","0.000"
"","","","","","","","","","","","","","","","","",""
"GEMS PEARLS STONES","","","","49.350","","","","","","","","","","","","49.350",""
"1","1","0","0","49.350","0.000","0","0","0.000","0.000","0","0","0.000","0.000","0","0","49.350","0.000"
"","","","","","","","","","","","","","","","","",""
"GENTS RING GLD","NA","2","","2.790","","","","","","2","","2.790","","","","",""
"GENTS RING GLD","18K","30","","201.627","","53","","123.178","","21","","69.984","","62","","254.821",""
"GENTS RING GLD","22K","25","","123.619","","","","","","3","","14.605","","22","","109.014",""
"3","3","57","0","328.036","0.000","53","0","123.178","0.000","26","0","87.379","0.000","84","0","363.835","0.000"
"","","","","","","","","","","","","","","","","",""
"GOLD JEWELLERY","NA","316","","508.505","","","","0.520","","10","","7.163","","306","","501.862",""
"1","1","316","0","508.505","0.000","0","0","0.520","0.000","10","0","7.163","0.000","306","0","501.862","0.000"
