"CERT","PROD","PUIRTY","PC","G WT","NET WT","GOLD","GOLD + MKG","TOTAL"
"","","","","","","","",""
"","BRACELET GOLD","22K","4","27.920","27.920","119844.37","119844.37","119844.37"
"","CHAIN GOLD","22K","31","409.630","409.630","1758304","1758304","1758304"
"","CHAIN SET GLD","22K","12","46.710","46.710","200498.94","200498.94","200498.94"
"","E RINGS/BALI,KUNDALGOLD","22K","28","53.730","53.730","230631.73","230631.73","230631.73"
"","JHALA GOLD","22K","2","4.080","4.080","17513.07","17513.07","17513.07"
"","JHUMKI GOLD","22K","6","24.200","24.200","103876.56","103876.56","103876.56"
"","MS CHAIN GOLD","22K","5","41.270","41.270","177148.17","177148.17","177148.17"
"","GENTS RING GLD","22K","25","68.145","68.145","201037.29","201037.29","201037.29"
"","GENTS RING GLD","22K","","55.474","55.474","238117.71","238117.71","238117.71"
"","HAR GOLD","22K","34","395.390","395.390","1166455.85","1166455.85","1166455.85"
"","LADIES RING GLD","22K","33","110.330","110.330","325488.95","325488.95","325488.95"
"","PEND..SET GOLD","22K","3","6.426","6.426","18957.6","18957.6","18957.6"
"","PENDENT GOLD","22K","9","60.520","60.520","178542.47","178542.47","178542.47"
"","TIKA GOLD","22K","1","5.630","5.630","16609.29","16609.29","16609.29"
"","TOPS GOLD","22K","54","102.610","102.610","302713.87","302713.87","302713.87"
"","","","","1412.065","1412.065","5055739.87","5055739.87","5055739.87"
"","","","","","","","",""
