"Date","Type","Refno","Party Name","Item Name","Stamp","Tag.No.","Pc","Gr.Wt.","Net.Wt.","HUID","Rate","Met.Value","Dia.Wt.","Dia.Val.","Stn.Wt.","Stn.Val.","Lamt","Total","Taxable Val.","GSTIN","Tax"
"4/23/2021","P","PRD/1","ANAND KUMAR & SONS SARRAF","GOLD ORNAMENTS","","","","77.500","77.500","","38960.00","301940","","","","","","301940.00","310998.20","09AAIHS9310R1ZA","9058.20"
"","","","","","","","0","77.500","77.500","","38960.00","301940","0.00","0","0.000","0","0","301940.00","310998.20","","9058.20"
"","","","","","","","","","","","","","","","","","","","","",""
"6/2/2021","P","PRD/2","ANAND KUMAR & SONS SARRAF","GOLD ORNAMENTS","","","","390.390","390.390","","38050.08","1485437","","","","","","1485437.00","1530000.12","09AAIHS9310R1ZA","44563.12"
"","","","","","","","0","390.390","390.390","","38050.08","1485437","0.00","0","0.000","0","0","1485437.00","1530000.12","","44563.12"
"","","","","","","","","","","","","","","","","","","","","",""
"6/4/2021","P","SB/104","CASH CUSTOMER","OLD SILVER","","","","32.000","32.000","","72000.00","1590","","","","","","1590.00","1671.28","","81.28"
"","","","","","","","0","32.000","32.000","","72000.00","1590","0.00","0","0.000","0","0","1590.00","1671.28","","81.28"
"","","","","","","","","","","","","","","","","","","","","",""
"6/7/2021","P","SB/111","CASH CUSTOMER","OLD GOLD","","","","1.510","1.510","","37086.09","5600","","","","","","5600.00","5908.74","","308.74"
"","","","","","","","0","1.510","1.510","","37086.09","5600","0.00","0","0.000","0","0","5600.00","5908.74","","308.74"
"","","","","","","","","","","","","","","","","","","","","",""
"6/18/2021","P","PURDS/1","CASH CUSTOMER","OLD SILVER","","","","405.000","405.000","","51358.02","20800","","","","","","20800.00","20800.00","",""
"6/18/2021","P","SB/171","CASH CUSTOMER","GOLD MATEL FINE","","","","4.200","4.200","","47000.00","19740","","","","","","19740.00","19931.94","","191.94"
"","","","","","","","0","409.200","409.200","","98358.02","40540","0.00","0","0.000","0","0","40540.00","40731.94","","191.94"
"","","","","","","","","","","","","","","","","","","","","",""
"6/21/2021","P","SB/180","CASH CUSTOMER","OLD GOLD","","","","5.400","5.400","","45969.50","21100","","","","","","21100.00","23400.90","","2300.90"
"6/21/2021","P","SB/180","CASH CUSTOMER","OLD GOLD","","","","2.870","2.870","","45969.50","9897","","","","","","9897.00","9897.00","",""
"","","","","","","","0","8.270","8.270","","91939.00","30997","0.00","0","0.000","0","0","30997.00","33297.90","","2300.90"
"","","","","","","","","","","","","","","","","","","","","",""
"6/28/2021","P","SB/213","CASH CUSTOMER","OLD GOLD","","","","5.560","5.560","","35210.00","19577","","","","","","19577.00","20193.84","","616.84"
"","","","","","","","0","5.560","5.560","","35210.00","19577","0.00","0","0.000","0","0","19577.00","20193.84","","616.84"
"","","","","","","","","","","","","","","","","","","","","",""
"6/29/2021","P","SB/218","CASH CUSTOMER","OLD SILVER","","","","62.000","62.000","","70000.00","3300","","","","","","3300.00","3399.04","","99.04"
"6/29/2021","P","SB/219","CASH CUSTOMER","OLD SILVER","","","","66.000","66.000","","70000.00","3235","","","","","","3235.00","3393.32","","158.32"
"6/29/2021","P","SB/220","CASH CUSTOMER","OLD SILVER","","","","23.000","23.000","","70000.00","1100","","","","","","1100.00","1143.68","","43.68"
"6/29/2021","P","SB/222","CASH CUSTOMER","OLD SILVER","","","","6.000","5.000","","70000.00","210","","","","","","210.00","232.14","","22.14"
"","","","","","","","0","157.000","156.000","","280000.00","7845","0.00","0","0.000","0","0","7845.00","8168.18","","323.18"
"","","","","","","","","","","","","","","","","","","","","",""
"6/30/2021","P","PRD/3","ANAND KUMAR & SONS SARRAF","GOLD ORNAMENTS","","","","52.300","52.300","","38055.45","199030","","","","","","199030.00","205000.00","09AAIHS9310R1ZA","5970.00"
"","","","","","","","0","52.300","52.300","","38055.45","199030","0.00","0","0.000","0","0","199030.00","205000.00","","5970.00"
"","","","","","","","","","","","","","","","","","","","","",""
"7/1/2021","P","SB/232","CASH CUSTOMER","OLD GOLD","","","","3.400","3.400","","46500.00","11848","","","","","","11851.00","12216.56","","365.56"
"","","","","","","","0","3.400","3.400","","46500.00","11848","0.00","0","0.000","0","0","11851.00","12216.56","","365.56"
"","","","","","","","","","","","","","","","","","","","","",""
"7/5/2021","P","SB/236","CASH CUSTOMER","OLD GOLD","","","","0.870","0.870","","33333.33","2900","","","","","","2900.00","2913.98","","13.98"
"","","","","","","","0","0.870","0.870","","33333.33","2900","0.00","0","0.000","0","0","2900.00","2913.98","","13.98"
"","","","","","","","","","","","","","","","","","","","","",""
"7/7/2021","P","SB/246","CASH CUSTOMER","OLD SILVER","","","","18.000","17.000","","72000.00","734","","","","","","734.00","772.86","","38.86"
"","","","","","","","0","18.000","17.000","","72000.00","734","0.00","0","0.000","0","0","734.00","772.86","","38.86"
"","","","","","","","","","","","","","","","","","","","","",""
"7/19/2021","P","SB/271","CASH CUSTOMER","OLD GOLD","","","","1.970","1.970","","36040.61","7100","","","","","","7100.00","7254.38","","154.38"
"","","","","","","","0","1.970","1.970","","36040.61","7100","0.00","0","0.000","0","0","7100.00","7254.38","","154.38"
"","","","","","","","","","","","","","","","","","","","","",""
"7/20/2021","P","SB/273","CASH CUSTOMER","OLD GOLD","","","","1.440","1.440","","36111.11","5200","","","","","","5200.00","6531.08","","1331.08"
"","","","","","","","0","1.440","1.440","","36111.11","5200","0.00","0","0.000","0","0","5200.00","6531.08","","1331.08"
"","","","","","","","","","","","","","","","","","","","","",""
"7/21/2021","P","SB/275","SHIV KESH S\O CHHEDA","OLD GOLD","","","","1.470","1.470","","36190.48","5320","","","","","","5320.00","5568.16","","248.16"
"","","","","","","","0","1.470","1.470","","36190.48","5320","0.00","0","0.000","0","0","5320.00","5568.16","","248.16"
