Metal,Category,Item Name,Pre Id / Short Code / SELL / PUR Code,Model No,Description,Color,Shape,Size,Length,Width,Purity,Clarity,Sub Item,Other Info,Model No without hash
SILVER,BABY  RING(JP),CZ BABY A+,BRCZBA#,BRCZBA,SILVER ORNAMENT GST,,,,,,,,,,BRCZBA
SILVER,BABY  RING(JP),ENEMAL RING,BRE#,BRE,SILVER ORNAMENT GST,,,,,,,,,,BRE
SILVER,BAND RING,BAND RINGS,BRB#,BRB,SILVER ORNAMENT GST,,,,,,,,,,BRB
SILVER,BAND RING(JP),3 LINE,BR3L#,BR3L,SILVER ORNAMENT GST,,,,,,,,,,BR3L
SILVER,BAND RING(JP),CNC BAND RING,BRCNC#,BRCNC,SILVER ORNAMENT GST,,,,,,,,,,BRCNC
SILVER,BRACELET,FIGARO PLAIN > 3,S-GAB350 3+1@8.5#,BFP,SILVER ORNAMENT GST,,,,,,,,,,S-GAB350 3+1@8.5
SILVER,BRACELET,FIGARO PLAIN > 3,S-GADC3+1180@8.5#,BFP,SILVER ORNAMENT GST,,,,,,,,,,S-GADC3+1180@8.5
SILVER,BRACELET,FIGARO PLAIN > 3,S-GADC3+1200@8.5#,BFP,SILVER ORNAMENT GST,,,,,,,,,,S-GADC3+1200@8.5
SILVER,BRACELET,BABY BRACELET,S-GADE3+1100@6.5#,BBB,SILVER ORNAMENT GST,,,,,,,,,,S-GADE3+1100@6.5
SILVER,BRACELET,BABY BRACELET,S-GADE3+1100@5#,BBB,SILVER ORNAMENT GST,,,,,,,,,,S-GADE3+1100@5
SILVER,BRACELET,BABY BRACELET,S-GADE3+1100@6#,BBB,SILVER ORNAMENT GST,,,,,,,,,,S-GADE3+1100@6
SILVER,BRACELET,BABY BRACELET,S-GADE3+1100@5.5#,BBB,SILVER ORNAMENT GST,,,,,,,,,,S-GADE3+1100@5.5
SILVER,BRACELET,P.C BRACELET < 12,S-B/32@8.5#,BPC,SILVER ORNAMENT GST,,,,,,,,,,S-B/32@8.5
SILVER,BRACELET,P.C BRACELET < 12,S-STBR000027@8.5#,BPC,SILVER ORNAMENT GST,,,,,,,,,,S-STBR000027@8.5
SILVER,BRACELET,P.C BRACELET < 12,CARTIER@8.5#,BPC,SILVER ORNAMENT GST,,,,,,,,,,CARTIER@8.5
SILVER,BRACELET,P.C BRACELET < 12,S-B/32@8.5#,BPC,SILVER ORNAMENT GST,,,,,,,,,,S-B/32@8.5
SILVER,CHAINS,FIGARO PLAIN > 3,S-GAD 3+1150@24#,CFP,SILVER ORNAMENT GST,,,,,,,,,,S-GAD 3+1150@24
