"Date","Refno","Type","Party Name","Lnarr","Gold Fine (Dr)","Gold Fine (Cr)","Sil.Fine (Dr)","Sil.Fine (Cr)","Total (Dr)","Total (Cr)","Pc","Gr.Wt.","Net.Wt.","Dia.Wt.","Stn.Wt.","Sil. Gr.Wt.","Gold Gr.Wt."
"03/04/2021","1","CONTRA","INDIN BANK C/A","","","","","","100000.00","","","","","","","",""
"03/04/2021","1","CONTRA","STATE BANK OF INDIA","","","","","","","100000.00","","","","","","",""
"03/04/2021","2","CONTRA","INDIN BANK C/A","","","","","","100000.00","","","","","","","",""
"03/04/2021","2","CONTRA","STATE BANK OF INDIA","","","","","","","100000.00","","","","","","",""
"05/04/2021","3","CONTRA","INDIN BANK C/A","","","","","","200000.00","","","","","","","",""
"05/04/2021","3","CONTRA","CASH","","","","","","","200000.00","","","","","","",""
"07/04/2021","4","CONTRA","INDIN BANK C/A",".","","","","","60000.00","","","","","","","",""
"07/04/2021","4","CONTRA","AXIS BANK C/A","","","","","","","60000.00","","","","","","",""
"09/04/2021","5","CONTRA","INDIN BANK C/A","","","","","","100000.00","","","","","","","",""
"09/04/2021","5","CONTRA","CASH","","","","","","","100000.00","","","","","","",""
"12/04/2021","6","CONTRA","INDIN BANK C/A","","","","","","60000.00","","","","","","","",""
"12/04/2021","6","CONTRA","AXIS BANK C/A","","","","","","","60000.00","","","","","","",""
"12/04/2021","7","CONTRA","INDIN BANK C/A","","","","","","150000.00","","","","","","","",""
"12/04/2021","7","CONTRA","AXIS BANK C/A","","","","","","","150000.00","","","","","","",""
"16/04/2021","8","CONTRA","INDIN BANK C/A","","","","","","200000.00","","","","","","","",""
"16/04/2021","8","CONTRA","CASH","","","","","","","200000.00","","","","","","",""
"21/04/2021","9","CONTRA","INDIN BANK C/A","","","","","","100000.00","","","","","","","",""
"21/04/2021","9","CONTRA","STATE BANK OF INDIA","","","","","","","100000.00","","","","","","",""
"22/04/2021","10","CONTRA","INDIN BANK C/A","","","","","","70000.00","","","","","","","",""
"22/04/2021","10","CONTRA","AXIS BANK C/A","","","","","","","70000.00","","","","","","",""
"26/04/2021","11","CONTRA","INDIN BANK C/A","","","","","","60000.00","","","","","","","",""
"26/04/2021","11","CONTRA","AXIS BANK C/A","","","","","","","60000.00","","","","","","",""
"26/04/2021","12","CONTRA","INDIN BANK C/A","","","","","","50000.00","","","","","","","",""
